board,qualification,subject,spec_slug,series,paper_ref,variant,material_type,source_page_url,source_file_url,expected_identity,status
pearson-edexcel,international-a-level,mathematics,mathematics-2018,2021-01,WME02/01,none,qp,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/Advanced%20Level/Mathematics/2021%20Jan/Question-paper,https://papers.xtremepape.rs/Edexcel/Advanced%20Level/Mathematics/2021%20Jan/Question-paper/QuestionPaper-Unit2%28WME02%29-January2021.pdf,Pearson Edexcel mathematics (mathematics-2018) WME02/01 2021 question paper,normalized
pearson-edexcel,international-a-level,mathematics,mathematics-2018,2021-01,WME02/01A,none,ms,,,Pearson Edexcel mathematics (mathematics-2018) WME02/01A 2021 mark scheme,na:pmt-mislabeled
pearson-edexcel,international-a-level,mathematics,mathematics-2018,2021-01,WST01/01,none,qp,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/Advanced%20Level/Mathematics/2021%20Jan/Question-paper,https://papers.xtremepape.rs/Edexcel/Advanced%20Level/Mathematics/2021%20Jan/Question-paper/QuestionPaper-Unit1%28WST01%29-January2021.pdf,Pearson Edexcel mathematics (mathematics-2018) WST01/01 2021 question paper,normalized
pearson-edexcel,international-a-level,mathematics,mathematics-2018,2021-01,WST01/01A,none,ms,,,Pearson Edexcel mathematics (mathematics-2018) WST01/01A 2021 mark scheme,na:pmt-mislabeled
pearson-edexcel,international-a-level,mathematics,mathematics-2018,2021-01,WST02/01,none,qp,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/Advanced%20Level/Mathematics/2021%20Jan/Question-paper,https://papers.xtremepape.rs/Edexcel/Advanced%20Level/Mathematics/2021%20Jan/Question-paper/QuestionPaper-Unit2%28WST02%29-January2021.pdf,Pearson Edexcel mathematics (mathematics-2018) WST02/01 2021 question paper,normalized
pearson-edexcel,international-a-level,mathematics,mathematics-2018,2021-01,WST02/01A,none,ms,,,Pearson Edexcel mathematics (mathematics-2018) WST02/01A 2021 mark scheme,na:pmt-mislabeled
pearson-edexcel,international-a-level,mathematics,wma01,2014-06,WME02/01,none,qp,,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-IAL/Mechanics/M2/QP/June 2014 QP.pdf,Pearson Edexcel mathematics (wma01) WME02/01 2014 question paper,normalized
pearson-edexcel,international-a-level,mathematics,wma01,2014-06,WST02/01,none,qp,,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-IAL/Statistics/S2/QP/June 2014 QP.pdf,Pearson Edexcel mathematics (wma01) WST02/01 2014 question paper,normalized
pearson-edexcel,international-a-level,mathematics,wma01,2015-06,WME02/01,none,qp,,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-IAL/Mechanics/M2/QP/June 2015 QP.pdf,Pearson Edexcel mathematics (wma01) WME02/01 2015 question paper,normalized
pearson-edexcel,international-a-level,mathematics,wma01,2015-06,WST02/01,none,qp,,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-IAL/Statistics/S2/QP/June 2015 QP.pdf,Pearson Edexcel mathematics (wma01) WST02/01 2015 question paper,normalized
pearson-edexcel,international-a-level,mathematics,wma01,2016-06,WME02/01,none,qp,,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-IAL/Mechanics/M2/QP/June 2016 QP.pdf,Pearson Edexcel mathematics (wma01) WME02/01 2016 question paper,normalized
pearson-edexcel,international-a-level,mathematics,wma01,2016-06,WST02/01,none,qp,,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-IAL/Statistics/S2/QP/June 2016 QP.pdf,Pearson Edexcel mathematics (wma01) WST02/01 2016 question paper,normalized
pearson-edexcel,international-a-level,mathematics,wma01,2017-06,WME02/01,none,qp,,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-IAL/Mechanics/M2/QP/June 2017 QP.pdf,Pearson Edexcel mathematics (wma01) WME02/01 2017 question paper,normalized
pearson-edexcel,international-a-level,mathematics,wma01,2017-06,WST02/01,none,qp,,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-IAL/Statistics/S2/QP/June 2017 QP.pdf,Pearson Edexcel mathematics (wma01) WST02/01 2017 question paper,normalized
pearson-edexcel,international-a-level,mathematics,wma01,2018-06,WME02/01,none,qp,,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-IAL/Mechanics/M2/QP/June 2018 QP.pdf,Pearson Edexcel mathematics (wma01) WME02/01 2018 question paper,normalized
pearson-edexcel,international-a-level,mathematics,wma01,2018-06,WST02/01,none,qp,,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-IAL/Statistics/S2/QP/June 2018 QP.pdf,Pearson Edexcel mathematics (wma01) WST02/01 2018 question paper,normalized
